,image,head_pose,drowsiness,emotion,label,result
215,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0217.jpg,0.0,Active!!,Confused,0.5,Not Engaged
216,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0063.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
217,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0059.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
218,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0383.jpg,,Active!!,Confused,0.5,Not Engaged
219,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0280.jpg,0.0,Active!!,Bored,0.0,Not Engaged
220,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0187.jpg,0.0,Active!!,Confused,0.5,Not Engaged
221,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0407.jpg,0.0,Active!!,Bored,0.0,Not Engaged
222,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0139.jpg,0.0,Active!!,Confused,0.5,Not Engaged
223,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0191.jpg,0.0,Active!!,Confused,0.5,Not Engaged
224,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0447.jpg,0.0,Active!!,Confused,0.5,Not Engaged
225,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0133.jpg,0.0,Active!!,Confused,0.5,Not Engaged
226,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0219.jpg,0.0,Active!!,Confused,0.5,Not Engaged
227,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0105.jpg,0.0,Active!!,Confused,0.5,Not Engaged
228,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0080.jpg,0.0,Active!!,Confused,0.5,Not Engaged
229,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0142.jpg,0.0,Active!!,Confused,0.5,Not Engaged
230,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0204.jpg,0.0,Active!!,Confused,0.5,Not Engaged
231,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0242.jpg,0.0,Active!!,Confused,0.5,Not Engaged
232,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0216.jpg,0.0,Active!!,Confused,0.5,Not Engaged
233,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0473.jpg,0.0,Active!!,Confused,0.5,Not Engaged
234,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0221.jpg,0.0,Active!!,Confused,0.5,Not Engaged
235,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0484.jpg,0.0,Active!!,Confused,0.5,Not Engaged
236,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0015.jpg,0.0,Active!!,Confused,0.5,Not Engaged
237,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0379.jpg,,Active!!,Confused,0.5,Not Engaged
238,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0137.jpg,0.0,Active!!,Confused,0.5,Not Engaged
239,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0103.jpg,0.0,Active!!,Confused,0.5,Not Engaged
240,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0353.jpg,0.0,Active!!,Engaged,0.85,Engaged
241,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0185.jpg,0.0,Active!!,Confused,0.5,Not Engaged
242,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0177.jpg,0.0,Active!!,Confused,0.5,Not Engaged
243,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0233.jpg,0.0,Active!!,Confused,0.5,Not Engaged
244,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0047.jpg,0.0,Active!!,Confused,0.5,Not Engaged
245,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0430.jpg,0.0,Active!!,Confused,0.5,Not Engaged
246,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0367.jpg,0.0,Active!!,Bored,0.0,Not Engaged
247,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0114.jpg,0.0,Active!!,Confused,0.5,Not Engaged
248,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0366.jpg,,Active!!,Bored,0.0,Not Engaged
249,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0395.jpg,0.0,Active!!,Bored,0.0,Not Engaged
250,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0201.jpg,0.0,Active!!,Confused,0.5,Not Engaged
251,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0222.jpg,0.0,Active!!,Confused,0.5,Not Engaged
252,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0265.jpg,0.0,Active!!,Bored,0.0,Not Engaged
253,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0037.jpg,0.0,Active!!,Confused,0.5,Not Engaged
254,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0183.jpg,0.0,Active!!,Confused,0.5,Not Engaged
255,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0294.jpg,1.0,Active!!,Confused,0.65,Engaged
256,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0130.jpg,0.0,Active!!,Confused,0.5,Not Engaged
257,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0461.jpg,0.0,Active!!,Confused,0.5,Not Engaged
258,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0393.jpg,0.0,Active!!,Engaged,0.85,Engaged
259,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0373.jpg,,Active!!,Confused,0.5,Not Engaged
260,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0251.jpg,0.0,Active!!,Confused,0.5,Not Engaged
261,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0104.jpg,0.0,Active!!,Confused,0.5,Not Engaged
262,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0346.jpg,0.0,Active!!,Confused,0.5,Not Engaged
263,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0194.jpg,0.0,Active!!,Confused,0.5,Not Engaged
264,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0224.jpg,0.0,Active!!,Confused,0.5,Not Engaged
265,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0249.jpg,0.0,Active!!,Confused,0.5,Not Engaged
266,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0293.jpg,0.0,Active!!,Confused,0.5,Not Engaged
267,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0446.jpg,0.0,Active!!,Confused,0.5,Not Engaged
268,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0270.jpg,0.0,Active!!,Confused,0.5,Not Engaged
269,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0173.jpg,0.0,Active!!,Bored,0.0,Not Engaged
270,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0109.jpg,0.0,Active!!,Confused,0.5,Not Engaged
271,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0368.jpg,,Active!!,Bored,0.0,Not Engaged
272,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0388.jpg,,Active!!,Bored,0.0,Not Engaged
273,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0050.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
274,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0392.jpg,0.0,Active!!,Engaged,0.85,Engaged
275,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0099.jpg,0.0,Active!!,Confused,0.5,Not Engaged
276,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0472.jpg,0.0,Active!!,Confused,0.5,Not Engaged
277,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0417.jpg,0.0,Active!!,Confused,0.5,Not Engaged
278,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0459.jpg,0.0,Active!!,Confused,0.5,Not Engaged
279,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0449.jpg,0.0,Active!!,Confused,0.5,Not Engaged
280,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0394.jpg,0.0,Active!!,Engaged,0.85,Engaged
281,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0035.jpg,0.0,Active!!,Bored,0.0,Not Engaged
282,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0112.jpg,0.0,Active!!,Confused,0.5,Not Engaged
283,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0397.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
284,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0419.jpg,0.0,Active!!,Confused,0.5,Not Engaged
285,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0287.jpg,0.0,Active!!,Bored,0.0,Not Engaged
286,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0071.jpg,0.0,Active!!,Confused,0.5,Not Engaged
287,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0118.jpg,0.0,Active!!,Confused,0.5,Not Engaged
288,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0244.jpg,0.0,Active!!,Confused,0.5,Not Engaged
289,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0361.jpg,0.0,Active!!,Bored,0.0,Not Engaged
290,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0253.jpg,0.0,Active!!,Confused,0.5,Not Engaged
291,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0414.jpg,0.0,Active!!,Confused,0.5,Not Engaged
292,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0241.jpg,0.0,Active!!,Confused,0.5,Not Engaged
293,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0087.jpg,0.0,Active!!,Confused,0.5,Not Engaged
294,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0205.jpg,0.0,Active!!,Confused,0.5,Not Engaged
295,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0230.jpg,0.0,Active!!,Confused,0.5,Not Engaged
296,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0198.jpg,0.0,Active!!,Confused,0.5,Not Engaged
297,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0411.jpg,0.0,Active!!,Confused,0.5,Not Engaged
298,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0220.jpg,0.0,Active!!,Confused,0.5,Not Engaged
299,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0215.jpg,0.0,Active!!,Confused,0.5,Not Engaged
300,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0481.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
301,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0100.jpg,0.0,Active!!,Confused,0.5,Not Engaged
302,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0012.jpg,0.0,Active!!,Confused,0.5,Not Engaged
303,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0060.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
304,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0045.jpg,0.0,Active!!,Bored,0.0,Not Engaged
305,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0199.jpg,0.0,Active!!,Confused,0.5,Not Engaged
306,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0069.jpg,0.0,Active!!,Bored,0.0,Not Engaged
307,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0054.jpg,0.0,Active!!,Confused,0.5,Not Engaged
308,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0276.jpg,0.0,Active!!,Engaged,0.85,Engaged
309,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0256.jpg,0.0,Active!!,Confused,0.5,Not Engaged
310,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0218.jpg,0.0,Active!!,Confused,0.5,Not Engaged
311,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0033.jpg,0.0,Active!!,Confused,0.5,Not Engaged
312,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0340.jpg,0.0,Active!!,Confused,0.5,Not Engaged
313,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0113.jpg,0.0,Active!!,Confused,0.5,Not Engaged
314,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0491.jpg,0.0,Active!!,Confused,0.5,Not Engaged
315,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0004.jpg,0.0,Active!!,Confused,0.5,Not Engaged
316,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0356.jpg,0.0,Active!!,Engaged,0.85,Engaged
317,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0127.jpg,0.0,Active!!,Confused,0.5,Not Engaged
318,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0174.jpg,0.0,Active!!,Confused,0.5,Not Engaged
319,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0463.jpg,0.0,Active!!,Confused,0.5,Not Engaged
320,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0034.jpg,0.0,Active!!,Bored,0.0,Not Engaged
321,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0396.jpg,0.0,Active!!,Engaged,0.85,Engaged
322,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0257.jpg,0.0,Active!!,Confused,0.5,Not Engaged
323,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0072.jpg,0.0,Active!!,Confused,0.5,Not Engaged
324,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0066.jpg,0.0,Active!!,Confused,0.5,Not Engaged
325,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0267.jpg,0.0,Active!!,Bored,0.0,Not Engaged
326,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0359.jpg,0.0,Active!!,Bored,0.0,Not Engaged
327,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0384.jpg,,Active!!,Bored,0.0,Not Engaged
328,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0365.jpg,0.0,Active!!,Bored,0.0,Not Engaged
329,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0211.jpg,0.0,Active!!,Confused,0.5,Not Engaged
330,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0462.jpg,0.0,Active!!,Confused,0.5,Not Engaged
331,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0428.jpg,0.0,Active!!,Confused,0.5,Not Engaged
332,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0445.jpg,0.0,Active!!,Confused,0.5,Not Engaged
333,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0482.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
334,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0418.jpg,0.0,Active!!,Confused,0.5,Not Engaged
335,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0030.jpg,0.0,Active!!,Confused,0.5,Not Engaged
336,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0189.jpg,0.0,Active!!,Confused,0.5,Not Engaged
337,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0085.jpg,0.0,Active!!,Confused,0.5,Not Engaged
338,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0123.jpg,0.0,Active!!,Confused,0.5,Not Engaged
339,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0488.jpg,0.0,Active!!,Confused,0.5,Not Engaged
340,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0385.jpg,,Active!!,Bored,0.0,Not Engaged
341,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0051.jpg,0.0,Active!!,Confused,0.5,Not Engaged
342,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0360.jpg,0.0,Active!!,Bored,0.0,Not Engaged
343,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0336.jpg,0.0,Active!!,Confused,0.5,Not Engaged
344,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0427.jpg,0.0,Active!!,Confused,0.5,Not Engaged
345,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0090.jpg,0.0,Active!!,Confused,0.5,Not Engaged
346,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0283.jpg,0.0,Active!!,Bored,0.0,Not Engaged
347,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0231.jpg,0.0,Active!!,Confused,0.5,Not Engaged
348,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0420.jpg,0.0,Active!!,Confused,0.5,Not Engaged
349,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0138.jpg,0.0,Active!!,Confused,0.5,Not Engaged
350,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0464.jpg,0.0,Active!!,Confused,0.5,Not Engaged
351,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0343.jpg,0.0,Active!!,Confused,0.5,Not Engaged
352,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0453.jpg,0.0,Active!!,Confused,0.5,Not Engaged
353,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0212.jpg,0.0,Active!!,Confused,0.5,Not Engaged
354,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0286.jpg,0.0,Active!!,Confused,0.5,Not Engaged
355,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0399.jpg,0.0,Active!!,Confused,0.5,Not Engaged
356,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0248.jpg,0.0,Active!!,Confused,0.5,Not Engaged
357,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0342.jpg,0.0,Active!!,Confused,0.5,Not Engaged
358,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0016.jpg,0.0,Active!!,Confused,0.5,Not Engaged
359,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0225.jpg,0.0,Active!!,Confused,0.5,Not Engaged
360,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0084.jpg,0.0,Active!!,Confused,0.5,Not Engaged
361,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0374.jpg,,Active!!,Confused,0.5,Not Engaged
362,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0401.jpg,0.0,Active!!,Confused,0.5,Not Engaged
363,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0124.jpg,0.0,Active!!,Confused,0.5,Not Engaged
364,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0229.jpg,0.0,Active!!,Confused,0.5,Not Engaged
365,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0190.jpg,0.0,Active!!,Confused,0.5,Not Engaged
366,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0223.jpg,0.0,Active!!,Confused,0.5,Not Engaged
367,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0358.jpg,0.0,Active!!,Bored,0.0,Not Engaged
368,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0382.jpg,,Active!!,Confused,0.5,Not Engaged
369,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0197.jpg,0.0,Active!!,Confused,0.5,Not Engaged
370,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0487.jpg,0.0,Active!!,Confused,0.5,Not Engaged
371,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0467.jpg,0.0,Active!!,Confused,0.5,Not Engaged
372,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0038.jpg,0.0,Active!!,Bored,0.0,Not Engaged
373,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0344.jpg,0.0,Active!!,Confused,0.5,Not Engaged
374,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0122.jpg,0.0,Active!!,Confused,0.5,Not Engaged
375,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0339.jpg,0.0,Active!!,Confused,0.5,Not Engaged
376,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0263.jpg,0.0,Active!!,Confused,0.5,Not Engaged
377,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0275.jpg,0.0,Active!!,Bored,0.0,Not Engaged
378,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0389.jpg,0.0,Active!!,Bored,0.0,Not Engaged
379,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0007.jpg,0.0,Active!!,Confused,0.5,Not Engaged
380,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0180.jpg,0.0,Active!!,Confused,0.5,Not Engaged
381,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0437.jpg,0.0,Active!!,Confused,0.5,Not Engaged
382,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0288.jpg,0.0,Active!!,Confused,0.5,Not Engaged
383,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0036.jpg,0.0,Active!!,Confused,0.5,Not Engaged
384,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0129.jpg,0.0,Active!!,Confused,0.5,Not Engaged
385,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0039.jpg,0.0,Active!!,Bored,0.0,Not Engaged
386,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0108.jpg,0.0,Active!!,Confused,0.5,Not Engaged
387,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0236.jpg,0.0,Active!!,Confused,0.5,Not Engaged
388,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0378.jpg,,Active!!,Confused,0.5,Not Engaged
389,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0291.jpg,0.0,Active!!,Confused,0.5,Not Engaged
390,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0234.jpg,0.0,Active!!,Confused,0.5,Not Engaged
391,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0408.jpg,0.0,Active!!,Bored,0.0,Not Engaged
392,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0400.jpg,0.0,Active!!,Engaged,0.85,Engaged
393,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0406.jpg,0.0,Active!!,Bored,0.0,Not Engaged
394,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0412.jpg,0.0,Active!!,Confused,0.5,Not Engaged
395,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0425.jpg,0.0,Active!!,Confused,0.5,Not Engaged
396,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0274.jpg,0.0,Active!!,Bored,0.0,Not Engaged
397,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0335.jpg,0.0,Active!!,Confused,0.5,Not Engaged
398,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0281.jpg,0.0,Active!!,Bored,0.0,Not Engaged
399,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0206.jpg,0.0,Active!!,Confused,0.5,Not Engaged
400,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0284.jpg,0.0,Active!!,Confused,0.5,Not Engaged
401,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0101.jpg,0.0,Active!!,Confused,0.5,Not Engaged
402,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0245.jpg,0.0,Active!!,Confused,0.5,Not Engaged
403,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0469.jpg,0.0,Active!!,Confused,0.5,Not Engaged
404,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0210.jpg,0.0,Active!!,Confused,0.5,Not Engaged
405,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0483.jpg,0.0,Active!!,Confused,0.5,Not Engaged
406,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0239.jpg,0.0,Active!!,Confused,0.5,Not Engaged
407,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0448.jpg,0.0,Active!!,Confused,0.5,Not Engaged
408,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0186.jpg,0.0,Active!!,Confused,0.5,Not Engaged
409,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0202.jpg,0.0,Active!!,Confused,0.5,Not Engaged
410,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0272.jpg,0.0,Active!!,Bored,0.0,Not Engaged
411,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0024.jpg,0.0,Active!!,Confused,0.5,Not Engaged
412,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0115.jpg,0.0,Active!!,Confused,0.5,Not Engaged
413,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0086.jpg,0.0,Active!!,Confused,0.5,Not Engaged
414,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0357.jpg,0.0,Active!!,Bored,0.0,Not Engaged
415,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0170.jpg,1.0,Active!!,Confused,0.65,Engaged
416,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0200.jpg,0.0,Active!!,Confused,0.5,Not Engaged
417,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0371.jpg,,Active!!,Bored,0.0,Not Engaged
418,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0443.jpg,0.0,Active!!,Confused,0.5,Not Engaged
419,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0001.jpg,1.0,Active!!,Confused,0.65,Engaged
420,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0176.jpg,0.0,Active!!,Confused,0.5,Not Engaged
421,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0391.jpg,0.0,Active!!,Bored,0.0,Not Engaged
422,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0269.jpg,0.0,Active!!,Confused,0.5,Not Engaged
